rep	case	h2	ts	envs	Qx	P.Chi	P.EN	type
C1	C1	h2-0.0	p-0.50	env_0.0	0.829450168349711	0.362431566742339	0.385	c
C1	C1	h2-0.0	p-0.50	env_0.0	0.829450168349711	0.362431566742339	0.338	c.p
C1	C1	h2-0.0	p-0.50	env_0.0	1.87011113991978	0.171462351059952	0.167	nc
C1	C1	h2-0.0	p-0.50	env_0.0	0.284724071287469	0.593621478284838	0.565	c-Tm
C1	C1	h2-0.0	p-0.50	env_0.0	0.284724071287469	0.593621478284838	0.606	c.p-Tm
C1	C1	h2-0.0	p-0.50	env_0.0	0.148687443501528	0.69979285302471	0.716	nc-Tm
C1	C1	h2-0.0	p-0.50	env_0.0	0.949983093184671	0.329723600834022	0.33	c-ID
C1	C1	h2-0.0	p-0.50	env_0.0	0.949983093184671	0.329723600834022	0.305	c.p-ID
C1	C1	h2-0.0	p-0.50	env_0.0	2.42957127369089	0.119065458500438	0.115	nc-ID
C1	C1	h2-0.0	p-0.50	env_0.0			1	True
C2	C1	h2-0.0	p-0.50	env_0.0	0.0193572183832006	0.889347247595153	0.907	c
C2	C1	h2-0.0	p-0.50	env_0.0	0.0193572183832006	0.889347247595153	0.904	c.p
C2	C1	h2-0.0	p-0.50	env_0.0	0.0413418429027765	0.838879503347295	0.85	nc
C2	C1	h2-0.0	p-0.50	env_0.0	0.113526342350189	0.736164615804615	0.773	c-Tm
C2	C1	h2-0.0	p-0.50	env_0.0	0.113526342350189	0.736164615804615	0.762	c.p-Tm
C2	C1	h2-0.0	p-0.50	env_0.0	0.00200647446970432	0.964271756423854	0.958	nc-Tm
C2	C1	h2-0.0	p-0.50	env_0.0	0.0209468669322155	0.884923795463427	0.912	c-ID
C2	C1	h2-0.0	p-0.50	env_0.0	0.0209468669322155	0.884923795463427	0.903	c.p-ID
C2	C1	h2-0.0	p-0.50	env_0.0	0.0226160364808246	0.880459856570854	0.888	nc-ID
C2	C1	h2-0.0	p-0.50	env_0.0			1	True
C3	C1	h2-0.0	p-0.50	env_0.0	0.0189290278713724	0.890570146935545	0.904	c
C3	C1	h2-0.0	p-0.50	env_0.0	0.0189290278713724	0.890570146935545	0.898	c.p
C3	C1	h2-0.0	p-0.50	env_0.0	1.73787164520747	0.187408729462262	0.19	nc
C3	C1	h2-0.0	p-0.50	env_0.0	0.130519697077818	0.717893806649042	0.752	c-Tm
C3	C1	h2-0.0	p-0.50	env_0.0	0.130519697077818	0.717893806649042	0.769	c.p-Tm
